address,amount
0x4a12Ce195E5755A4db3d02043DAa793913F6AB47,109.8981561
0xB67bd4f6f4E95618De9FFD3B337ebCb200638669,109.7981028
0xcC3b759BA4FC2F73a0FaB559714aa0FBc2f6437c,109.3254515
0x11A30D7fD628ee8104AC9C1662F412B7339f3fB6,108.772626
0x2B33bEA74C0bD29D06F99798Ce761dA13713353e,107.1070388
0x667B1147aeC24369cbce2CCb5afFa252e417ea63,106.2056416
0xA728f58018560b13c48c916F1ef53910F9b491C9,105.9402041
0x157B108123A745a40A016E68187E11C149510F87,104.8403958
0x01ee4939C81Ee3fC11fF0Cd35C411D2650b00064,103.5638233
0xc0ee19237DDeab1c795221f2332A6087668D8982,103.3293525
0x676Bde1a9EaD17be97f648aed1C4A68B9F4B8A8B,103.0966484
0x5a1C868668e9c5b2265F8b57119108db132873d6,103.0966484
0x02B9746dCf40E3cA493ef070179D4d6dEb571499,102.7720673
0x031633884306abaf5d5003ca5a631aec9ef258aa,102.5506179
0xb401Cc0e452211e57E1ccE33Da639fD53adb5678,102.3242523
0xCee3EEcF44D80C2fa37FED3A9377A430e3b1FeA8,102.0967819
0xb8F126B6321A2FED3170B94395e2371354da200D,102.0947419
0x4f39AA19a84Ac167e040fe7c456B8BBEC959Ad43,101.0322782
0x5BCbA3ae2aF1A4945A3C30B0c4Bd574B1Eb1E978,100.4128751
0x2E9BbD8d1b1f71a19fAD063cfC76Cc2b267AA810,100.188701
0x39F7200a7d644ACCE2ea78fcb8560cC8B1188217,99.8848528
0xd1fcfed59db9442310033dac4da1359c4bab527c,99.6098422
0x02d197839712d3b6DecB9E913fF820bb2b41d337,98.6063634
0xc92c7BafD094f7Ba986037D95826bE4352DC5c71,98.59186766
0x136Ee5b20D8C5CF3Ebc34a83175e3fdF8a994859,98.44762247
0x3ff52C5cDe1Fd69783C56FB8F29e888Dfca5f11F,98.38425339
0x00b447fF22BAd50eAfA746b2EF1F0Fa02cFd835E,98.0721099
0xe4434025791d7a142E3250A2370aa7c9CE04a1F9,97.81878856
0x77833ed0dCf3A8c3b3a5574303F591da8CBE7fFd,95.46444945
0xBa74B05ed708d64f6BcD4CdebecA96fddF03a8D5,93.54843339
0xb66d31fa150Aa3b5fAf4083EbC0d15d053EA36A0,93.45490044
0xF2A8386E22a425c2612861ec066e70902F065Bb3,92.50014614
0xe72Ccc734b373DC17Eae243Dd19B4021C67F73d3,92.23021207
0xCa964cc23F1b0E856Da4588F1a9Bd8c4A20E66E0,91.92102469
0x0170168b95FE16B03A38b485AF06833cA601f7fB,91.90540913
0x543854C5fc72e68E87151ee9b165Defead873f26,91.83972709
0x2216a2B8c7174BCffE4102696D0E7C7308C89958,91.01156394
0x4e65539bb5F893CCD2B71D3d807b5112e1b85dFb,90.90753098
0x92fd6D7c69F85C728Dd64FAb29E6de28f1e9A1c1,90.74804937
0xa4faae80fab6f56242630B8c94FB960F70B152D0,90.61630512
0xFbaE580dB7493f0a6fCBDBb627D5Ad0457D58F2E,88.90622022
0xe13449814940587c087c685ae3484812Ebb18282,88.48859861
0x629Ae1F362a2beDB64C190E3ed96dFeE963Bd488,88.23436658
0xE74e88316bB72862C97E6C20ef19401Df4560E5B,88.03814798
0x53A635857526154Dd970fAFcD48cCA250B3C109c,87.87355002
0x9FC65A99FaAa09707861E3B12B0Deb04790AF404,87.85582974
0x469bbafeB93480Ee4c2cBFf806Bc504188335499,86.98154065
0x0DdD9DD9B77d3Ba97B2496e3590787DeF887a95b,86.85976647
0x8cC507B7D589A8C15b2b78C2058710897DAad46F,86.77860497
0xfe8517Ab56f550DFc78f2B30A7a46Dd19543b7af,86.34143613
0x1f33541c9AD807ac12AEc1eDf3e175E5add19C59,85.81227771
0x63b18f440Fbe3E5673b56fA50Ce45231Fa8b2B25,85.54497236
0xBE4e70FadE8039533dbA8bC17963F8189ca4F910,85.54361732
0x00cE11d0cd8404B5eF51b3A8Fe83AB88f475E73d,85.42562323
0xDe50C7553C0D011b52b7Ece4E0718d76C1F44c37,85.23114611
0x11D6af24c168a9a131747B50Cf478832E258656A,85.21360426
0xd8573e5c1f24b3F0df1322586367Db14FDB70aE1,85.03515952
0x56a53D7196FBD4CCD691FA91bA17f1908D463BE2,85.03187206
0xd247c9bbac52aeabb28f9561581ffd41fb3671c7,84.25814263
0x5A33580284b7DE1A863f479c72aECbD204902f98,84.1133865
0xaA0dc16f7E07bAf7B1dF877281b8CB782ad37b0B,84.04865975
0x2452c5aF8b17Fc546e903a6eD6331943Cc1a26e4,83.3823344
0xd576F9E97c8B00BacC1c30279Bc175a97F5E5EEe,83.04465158
0x070203fcFf1ef26f1094821b31139e534628Ae41,82.93406199
0x8D4c9d041AFd46915274Ef608C09929D77F2010A,82.66875166
0xa93059e4E61AEFFcf46F88Dbc805082235df5e7b,82.22770567
0x02594538d282ee5ad3f96373216b72C064f73F08,81.65522484
0xc23Dd9f3A8a286f58284AF7CFDCBF2E72dF769e8,81.65522484
0x49CbF9314Bc296113Dd1406177EB6c50F2ce5F96,81.02107817
0x784c71ce0099c1542F3eCE7CcB20Dd05F62AE741,80.9855361
0x5d2f29AA18aEf827317c48bd2b4f05fA24880038,80.88111579
0x0Ef5c493Ac031D07AdBfB0E965C6d0356a4fE377,80.70246442
0x12A0D0019C11D7Ff7514a6aa93BB763277e7801d,80.68368518
0x179a7Df70eAFC690c74429915dB1be9D84d9B3A0,80.65535827
